"Monat;""Verbraucherpreisindex"";""Bahnfahrt"," Nahverkehr"";""Kombinierte Personenbeförderungsleistungen"""
2015-01;98.5;99.8;99.6,
2015-02;99.2;99.9;99.8,
2015-03;99.7;99.9;99.8,
2015-04;100.2;99.9;99.8,
2015-05;100.4;99.9;99.8,
2015-06;100.4;99.9;99.8,
2015-07;100.6;99.9;99.8,
2015-08;100.6;99.9;100.2,
2015-09;100.4;99.9;100.2,
2015-10;100.4;99.9;100.3,
2015-11;99.7;99.9;100.3,
2015-12;99.7;100.7;100.5,
2016-01;99;101.4;102.3,
2016-02;99.3;101.5;102.4,
2016-03;100;101.5;102.4,
2016-04;100.1;101.5;102.4,
2016-05;100.6;101.5;102.4,
2016-06;100.7;101.5;102.4,
2016-07;101.1;101.5;102.4,
2016-08;101;101.5;102.8,
2016-09;101;101.5;102.8,
2016-10;101.2;101.5;102.8,
2016-11;100.5;101.5;102.9,
2016-12;101.2;104;103.1,
2017-01;100.6;105.4;104.1,
2017-02;101.2;105.4;104.1,
2017-03;101.4;105.4;104.1,
2017-04;101.8;105.4;104.1,
2017-05;101.8;105.4;104.1,
2017-06;102.1;105.4;104.1,
2017-07;102.5;105.4;104.2,
2017-08;102.6;105.4;104.5,
2017-09;102.7;105.4;104.5,
2017-10;102.5;105.4;104.6,
2017-11;102.1;105.4;104.6,
2017-12;102.6;108.5;104.8,
2018-01;102;110;105.8,
2018-02;102.3;110;105.8,
2018-03;102.9;110;105.8,
2018-04;103.1;110;105.9,
2018-05;103.9;110;105.9,
2018-06;104;110;105.9,
2018-07;104.4;110;106,
2018-08;104.5;110;106.2,
2018-09;104.7;110;106.2,
2018-10;104.9;110;106.3,
2018-11;104.2;110;106.3,
2018-12;104.2;112.4;106.3,
2019-01;103.4;113.5;107.7,
2019-02;103.8;113.5;107.7,
2019-03;104.2;113.5;107.8,
2019-04;105.2;113.5;107.8,
2019-05;105.4;113.5;107.8,
2019-06;105.7;113.5;107.8,
2019-07;106.2;113.9;107.8,
2019-08;106;113.9;108.3,
2019-09;106;113.9;108.3,
2019-10;106.1;113.9;108.4,
2019-11;105.3;113.9;108.4,
2019-12;105.8;115.9;108.5,
2020-01;105.2;118;109.7,
2020-02;105.6;118;109.7,
2020-03;105.7;118;109.7,
2020-04;106.1;118;109.7,
2020-05;106;118;109.7,
2020-06;106.6;115.7;109.7,
2020-07;106.1;113.9;109.6,
2020-08;106;113.8;109.7,
2020-09;105.8;113.8;109.6,
2020-10;105.9;113.8;109.4,
2020-11;105;113.8;109.4,
2020-12;105.5;115.3;109.6,
2021-01;106.3;116.2;110.6,
2021-02;107;116;111,
2021-03;107.5;116;111,
2021-04;108.2;116;111.1,
2021-05;108.7;116;111.1,
2021-06;109.1;116.3;111.1,
2021-07;110.1;116.3;111.3,
2021-08;110.1;116.3;111.5,
2021-09;110.1;116.4;111.6,
2021-10;110.7;116.4;111.7,
2021-11;110.5;116.4;111.7,
2021-12;111.1;118.1;111.8,
2022-01;111.5;119;112.9,
2022-02;112.5;119;112.9,
2022-03;115.3;119;113,
2022-04;116.2;119;113,
