,Ranking,Artist,Title,Streams
0,1.0,Ed Sheeran,Shape of You,3745136893.0
1,2.0,The Weeknd,Blinding Lights,3286379144.0
2,3.0,Ed Sheeran,Perfect,3223443116.0
3,4.0,Luis Fonsi,Despacito,3111564206.0
4,5.0,Tones And I,Dance Monkey,2718870597.0
5,6.0,Lewis Capaldi,Someone You Loved,2608476206.0
6,7.0,Post Malone,rockstar (feat. 21 Savage),2569169084.0
7,8.0,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2499471822.0
8,9.0,Lil Nas X,Old Town Road,2489531635.0
9,10.0,Billie Eilish,bad guy,2479327385.0
10,11.0,The Chainsmokers,Closer,2472235344.0
11,12.0,Drake,One Dance,2436655563.0
12,13.0,Imagine Dragons,Believer,2394681736.0
13,14.0,Travis Scott,Goosebumps,2382962127.0
14,15.0,Glass Animals,Heat Waves,2263663685.0
15,16.0,Shawn Mendes,Se̱orita,2253074269.0
16,17.0,Dua Lipa,Levitating (feat. DaBaby),2227181318.0
17,18.0,James Arthur,Say You Won't Let Go,2170264673.0
18,19.0,The Kid LAROI,STAY (with Justin Bieber),2166443573.0
19,20.0,John Legend,All of Me,2164593371.0
20,21.0,The Weeknd,Save Your Tears,2155297435.0
21,22.0,Dua Lipa,Don't Start Now,2127196725.0
22,23.0,Ed Sheeran,Thinking out Loud,2120321626.0
23,24.0,Sia,Cheap Thrills,2084063329.0
24,25.0,The Chainsmokers,Something Just Like This,2079644764.0
25,26.0,The Weeknd,Starboy,2079163795.0
26,27.0,Camila Cabello,Havana (feat. Young Thug),2074388576.0
27,28.0,Juice WRLD,Lucid Dreams,2066370801.0
28,29.0,Queen,Bohemian Rhapsody,2062702684.0
29,30.0,Ed Sheeran,Photograph,2041322767.0
30,31.0,Drake,God's Plan,2035048785.0
31,32.0,Imagine Dragons,Thunder,1976584011.0
32,33.0,Harry Styles,Watermelon Sugar,1974161491.0
33,34.0,Billie Eilish,lovely (with Khalid),1969582933.0
34,35.0,Kendrick Lamar,HUMBLE.,1965190279.0
35,36.0,Hozier,Take Me to Church,1930749326.0
36,37.0,Lady Gaga,Shallow,1917705474.0
37,38.0,XXXTENTACION,SAD!,1910203831.0
38,39.0,DJ Snake,Let Me Love You,1905556177.0
39,40.0,Justin Bieber,Love Yourself,1901198671.0
40,41.0,Dua Lipa,New Rules,1896251905.0
41,42.0,SAINt JHN,Roses,1887577727.0
42,43.0,The Chainsmokers,Don't Let Me Down,1883087816.0
43,44.0,Post Malone,Circles,1872890815.0
44,45.0,Justin Bieber,Sorry,1866173053.0
45,46.0,Alan Walker,Faded,1854749803.0
46,47.0,Passenger,Let Her Go,1854057472.0
47,48.0,Ariana Grande,7 rings,1829522637.0
48,49.0,Marshmello,Happier,1826454706.0
49,50.0,Travis Scott,SICKO MODE,1820430680.0
50,,,,
